Property ID,Property name,Final URL,Image URL,Destination name,Price,Star rating,Score,Max score,Facilities
994291320977,Гостиница Горизонт,https://sutochno.ru/front/searchapp/hotels/99429,https://pumpons.github.io/sutochno-feeds/images/8f9e51be8657b1d0.png,Красная Поляна,3800 RUB,0,4.9188777268483,5.0,круглосуточная стойка;сад;Терраса;Игровая площадка для детей;прачечная
1680181110151,Гостевой дом Олимпия,https://sutochno.ru/front/searchapp/hotels/168018,https://pumpons.github.io/sutochno-feeds/images/aa5fa2e5aad1a755.png,Адлер,5000 RUB,0,4.9188034188034,5.0,ресторан;доставка в номер;круглосуточная стойка;Игровая площадка для детей;лифт;пандус;камера хранения;детское меню
168018519225,Гостевой дом Олимпия,https://sutochno.ru/front/searchapp/hotels/168018,https://pumpons.github.io/sutochno-feeds/images/5e6735c7aaf6dcc6.png,Адлер,3400 RUB,0,4.9188034188034,5.0,ресторан;доставка в номер;круглосуточная стойка;Игровая площадка для детей;лифт;пандус;камера хранения;детское меню
168018688725,Гостевой дом Олимпия,https://sutochno.ru/front/searchapp/hotels/168018,https://pumpons.github.io/sutochno-feeds/images/50e0b3175657472e.png,Адлер,4200 RUB,0,4.9188034188034,5.0,ресторан;доставка в номер;круглосуточная стойка;Игровая площадка для детей;лифт;пандус;камера хранения;детское меню
999091326067,Апарт-отель Ривьера Арт,https://sutochno.ru/front/searchapp/hotels/99909,https://pumpons.github.io/sutochno-feeds/images/77a291d642135bbf.png,Сочи,4000 RUB,3,4.9182084799732,5.0,
999091326079,Апарт-отель Ривьера Арт,https://sutochno.ru/front/searchapp/hotels/99909,https://pumpons.github.io/sutochno-feeds/images/840aa0e5c0996242.png,Сочи,4500 RUB,3,4.9182084799732,5.0,
8479565847,Объект Марина,https://sutochno.ru/front/searchapp/hotels/8479,https://pumpons.github.io/sutochno-feeds/images/b6ba076d9e49025f.png,Сочи,2700 RUB,0,4.9176366843033,5.0,сад;Терраса;Игровая площадка для детей
8479562513,Объект Марина,https://sutochno.ru/front/searchapp/hotels/8479,https://pumpons.github.io/sutochno-feeds/images/b6ba076d9e49025f.png,Сочи,2700 RUB,0,4.9176366843033,5.0,сад;Терраса;Игровая площадка для детей
84791595007,Объект Марина,https://sutochno.ru/front/searchapp/hotels/8479,https://pumpons.github.io/sutochno-feeds/images/b6ba076d9e49025f.png,Сочи,2700 RUB,0,4.9176366843033,5.0,сад;Терраса;Игровая площадка для детей
1322531715860,Гостевой дом На Заповедной,https://sutochno.ru/front/searchapp/hotels/132253,https://pumpons.github.io/sutochno-feeds/images/f365425f8ed10864.png,Красная Поляна,1800 RUB,0,4.9170961142378,5.0,круглосуточная стойка
56463968903,Объект Светлана,https://sutochno.ru/front/searchapp/hotels/56463,https://pumpons.github.io/sutochno-feeds/images/3f257180baafbc23.png,Сочи,4000 RUB,0,4.9167330888995,5.0,сад;Терраса;Игровая площадка для детей
56463971403,Объект Светлана,https://sutochno.ru/front/searchapp/hotels/56463,https://pumpons.github.io/sutochno-feeds/images/6c6ec388e1d4bb2b.png,Сочи,3000 RUB,0,4.9167330888995,5.0,сад;Терраса;Игровая площадка для детей
56463968835,Объект Светлана,https://sutochno.ru/front/searchapp/hotels/56463,https://pumpons.github.io/sutochno-feeds/images/6c6ec388e1d4bb2b.png,Сочи,3000 RUB,0,4.9167330888995,5.0,сад;Терраса;Игровая площадка для детей
